route,departure,speed_ms,speed_tag,n_samples,L_repr_m,off_raster,nan_samples,inv_replen_eq_L,inv_M4sum_eq_M1,M1_trip_min,M2_timeweighted_mean_UTCI,M3_min,M3_p25,M3_median,M3_p75,M3_max,M3_IQR,M5_p95_descriptor,tmrt_mean,M4_min_no_stress,M4_min_moderate,M4_min_strong,M4_min_very_strong,M4_min_extreme,M4_prop_no_stress,M4_prop_moderate,M4_prop_strong,M4_prop_very_strong,M4_prop_extreme
A,14:00,1.1,baseline_1.1,532,2657.81,False,0,True,True,40.27,40.345,35.76,38.66,40.73,42.25,43.63,3.59,42.81,55.23,0.0,0.0,6.439,33.831,0.0,0.0,0.0,0.1599,0.8401,0.0
B,14:00,1.1,baseline_1.1,474,2365.67,False,0,True,True,35.843,40.387,36.32,39.07,40.46,41.95,43.17,2.88,42.86,55.67,0.0,0.0,3.333,32.51,0.0,0.0,0.0,0.093,0.907,0.0
A,17:00,1.1,baseline_1.1,532,2657.81,False,0,True,True,40.27,42.246,38.56,39.92,42.64,44.38,45.53,4.46,44.99,53.87,0.0,0.0,0.0,40.27,0.0,0.0,0.0,0.0,1.0,0.0
B,17:00,1.1,baseline_1.1,474,2365.67,False,0,True,True,35.843,42.613,38.66,41.37,42.83,44.12,45.48,2.75,45.08,55.36,0.0,0.0,0.0,35.843,0.0,0.0,0.0,0.0,1.0,0.0
A,14:00,1.4,qa_1.4,532,2657.81,False,0,True,True,31.641,40.183,35.76,38.44,40.57,42.13,43.63,3.69,42.77,54.98,0.0,0.0,6.131,25.51,0.0,0.0,0.0,0.1938,0.8062,0.0
B,14:00,1.4,qa_1.4,474,2365.67,False,0,True,True,28.163,40.255,36.32,38.92,40.37,41.87,42.82,2.95,42.62,55.48,0.0,0.0,3.036,25.127,0.0,0.0,0.0,0.1078,0.8922,0.0
A,17:00,1.4,qa_1.4,532,2657.81,False,0,True,True,31.641,42.345,38.71,40.05,42.86,44.51,45.53,4.46,44.99,54.13,0.0,0.0,0.0,31.641,0.0,0.0,0.0,0.0,1.0,0.0
B,17:00,1.4,qa_1.4,474,2365.67,False,0,True,True,28.163,42.73,38.66,41.56,42.98,44.26,45.72,2.7,45.18,55.7,0.0,0.0,0.0,28.163,0.0,0.0,0.0,0.0,1.0,0.0
