NOMBRE PARQUE;ESPECIE;UNIDADES 2023;;
PARQUE JUAN CARLOS I;Otros;6082;;
;;;;
PARQUE JUAN PABLO II;Pinus pinea;142;;
PARQUE JUAN PABLO II;Aesculus hippocastanum;128;;
PARQUE JUAN PABLO II;Morus alba;125;;
PARQUE JUAN PABLO II;Celtis australis;124;;
PARQUE JUAN PABLO II;Gleditsia triacanthos;88;;
PARQUE JUAN PABLO II;Liquidambar styraciflua;80;;
PARQUE JUAN PABLO II;Prunus dulcis;55;;
PARQUE JUAN PABLO II;Cupressus sempervirens;52;;
PARQUE JUAN PABLO II;Lagerstroemia indica;49;;
PARQUE JUAN PABLO II;Tilia platyphyllos;48;;
PARQUE JUAN PABLO II;Otros;710;;
;;;;
PARQUE MADRID RÍO;Pinus pinea;2925;;
PARQUE MADRID RÍO;Pinus halepensis;2365;;
PARQUE MADRID RÍO;Platanus x hispanica;1498;;
PARQUE MADRID RÍO;Fraxinus angustifolia;705;;
PARQUE MADRID RÍO;Acer x freemanii;587;;
PARQUE MADRID RÍO;Populus nigra;538;;
PARQUE MADRID RÍO;Melia azedarach;509;;
PARQUE MADRID RÍO;Aesculus hippocastanum;435;;
PARQUE MADRID RÍO;Ginkgo biloba;384;;
PARQUE MADRID RÍO;Celtis australis;367;;
PARQUE MADRID RIO;Otros;3804;;
;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Prunus dulcis;1120;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Pinus halepensis;1094;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Cupressus sempervirens;606;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Pinus pinea;334;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Eucalyptus sp;310;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Platanus x hispanica;282;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Cedrus deodara;276;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Ulmus sp;244;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Gleditsia triacanthos;225;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Celtis australis;212;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Ligustrum japonicum;162;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Otros;1491;;
;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Pinus pinea;1057;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Styphnolobium japonicum;744;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Physostegia virginiana;606;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Ligustrum japonicum;418;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Populus alba 'Bolleana';357;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Cedrus deodara;344;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Pinus halepensis;319;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Prunus cerasifera  subsp. pissardii;313;;
