asset_id,name,lidar_cdsm_mean_m,lidar_cdsm_max_m,madrid_tree_count_10m,green_coverage_pct_10m,copernicus_tcd_pct_10m,n_newer_sources_confirming,geometry_confidence,reason
A17,Estatua de Goya,3.38,12.0,1,55.5,71.8,2,REPRESENTATIVE,LiDAR CDSM shows real canopy (mean 3.38 m) and 2/3 independent newer sources confirm meaningful vegetation nearby
A19,Real Observatorio de Madrid,6.27,17.0,0,100.0,28.0,2,REPRESENTATIVE,LiDAR CDSM shows real canopy (mean 6.27 m) and 2/3 independent newer sources confirm meaningful vegetation nearby
A20,Parque del Retiro,9.16,21.0,7,100.0,38.0,3,REPRESENTATIVE,LiDAR CDSM shows real canopy (mean 9.16 m) and 3/3 independent newer sources confirm meaningful vegetation nearby
A21,Real Jardín Botánico de Madrid,7.04,16.0,0,100.0,71.2,2,REPRESENTATIVE,LiDAR CDSM shows real canopy (mean 7.04 m) and 2/3 independent newer sources confirm meaningful vegetation nearby
A23,Jardines de Cecilio Rodríguez,0.62,4.0,8,100.0,49.2,3,POSSIBLY STALE,"LiDAR CDSM shows little/no canopy (mean 0.62 m) but 3/3 independent newer sources indicate real vegetation nearby - canopy may have grown in since the ~2008-2015 LiDAR campaign, or LiDAR undercounted this specific area"
A24,La Rosaleda,0.1,3.0,0,100.0,26.2,2,POSSIBLY STALE,"LiDAR CDSM shows little/no canopy (mean 0.1 m) but 2/3 independent newer sources indicate real vegetation nearby - canopy may have grown in since the ~2008-2015 LiDAR campaign, or LiDAR undercounted this specific area"
A25,Jardín del Parterre,0.08,3.0,0,100.0,12.0,1,PARTIALLY REPRESENTATIVE,"LiDAR CDSM shows little canopy (mean 0.08 m) and newer sources are also equivocal (1/3 confirm) - consistent low-vegetation site, moderate confidence"
A27,Jardines del Arquitecto Herrero Palacios,0.88,8.0,0,100.0,65.5,2,POSSIBLY STALE,"LiDAR CDSM shows little/no canopy (mean 0.88 m) but 2/3 independent newer sources indicate real vegetation nearby - canopy may have grown in since the ~2008-2015 LiDAR campaign, or LiDAR undercounted this specific area"
