scenario,source_id,source_name,timestamp,access_radius_m,source_indoor_outdoor,source_open,source_thermal_state,source_decision_state,source_decision_confidence,source_utci,n_candidate_alternatives,alternative_ids,experience_types_offered,recommendation,scenario_class,scenario_desc
S1,A16,Fuente de Neptuno,15:00,800,outdoor,True,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,BOUNDARY,45.0,9,"A01,A03,A04,A10,A12,A14,A17,A18,A21","green_outdoor,indoor_cultural,outdoor_monument,transit_refuge",ALTERNATIVES_FOUND,class1_exposed_monument_to_indoor,exposed near-ceiling outdoor monument -> indoor cultural refuge
S2,A15,Fuente de Cibeles,15:00,800,outdoor,True,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,BOUNDARY,44.4,6,"A01,A03,A11,A12,A14,A17","indoor_cultural,outdoor_monument,transit_refuge",ALTERNATIVES_FOUND,class3_multiple_alternatives_tradeoffs,"exposed monument, several alternatives -> expose access/experience trade-offs"
S3,A14,Puerta de Alcalá,18:00,800,outdoor,True,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,42.7,4,"A01,A11,A12,A20","green_outdoor,indoor_cultural,transit_refuge",ALTERNATIVES_FOUND,class2_exposed_to_shaded_outdoor,exposed monument -> shaded/lower-radiant outdoor alternative
S4,A26,Monumento a Alfonso XII,18:00,800,outdoor,True,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,43.9,8,"A11,A14,A18,A20,A22,A23,A25,A27","green_outdoor,outdoor_monument,shaded_outdoor,transit_refuge",ALTERNATIVES_FOUND,class5_uncertainty_excludes_candidate,"lakeside monument; nearby La Rosaleda excluded for low thermal confidence, robust alternatives remain"
S5,A19,Real Observatorio de Madrid,15:00,800,outdoor,False,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,41.4,7,"A01,A02,A04,A09,A10,A13,A21","green_outdoor,indoor_cultural,indoor_green_refuge,transit_refuge",ALTERNATIVES_FOUND,source_closed,source CLOSED (Monday) -> alternative open tourism opportunity
S6,A17,Estatua de Goya,18:00,800,outdoor,True,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,43.9,9,"A01,A02,A04,A10,A12,A14,A18,A21,A25","green_outdoor,indoor_cultural,outdoor_monument,transit_refuge",ALTERNATIVES_FOUND,baseline_divergence_nearest_indoor_closed,exposed queueing spot where the nearest indoor option (Thyssen) is closed at 18:00
S7,A24,La Rosaleda,18:00,800,outdoor,True,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,UNSTABLE,45.4,6,"A20,A22,A23,A25,A26,A27","green_outdoor,shaded_outdoor",ALTERNATIVES_FOUND,class5_source_thermal_unstable,source's OWN thermal decision UNSTABLE -> still find robust cooler alternatives
S8,A20,Parque del Retiro,15:00,500,outdoor,True,VERY_STRONG_HEAT_STRESS,AVOID_PROLONGED_OUTDOOR_EXPOSURE,ROBUST,38.6,0,,,NO_DEFENSIBLE_ALTERNATIVE,class4_no_defensible_alternative,already-cool central park under constrained 500 m heat-walk -> no defensible alternative
