asset_id,name,n_trees_10m,n_canopy_trees_10m,median_h_10m,max_h_10m,n_trees_20m,n_canopy_trees_20m,median_h_20m,max_h_20m,n_trees_30m,n_canopy_trees_30m,median_h_30m,max_h_30m,cdsm_mean_10m,cdsm_max_10m,tcd_pct_10m,green_pct_10m
A23,Jardines de Cecilio Rodríguez,8,2,4.0,4.0,12,2,4.0,4.0,22,4,12.0,20.0,0.62,4.0,49.2,100.0
A24,La Rosaleda,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1,3.0,26.2,100.0
A27,Jardines del Arquitecto Herrero Palacios,0,0,0.0,0.0,15,9,13.0,14.0,46,25,11.0,14.0,0.88,8.0,65.5,100.0
