scenario,asset_id,name,timestamp,tmrt_mean_10m,utci_mean_10m,utci_category,feasibility_this_scenario,feasibility_phase2_baseline,feasibility_phase1_proxy,utci_delta_vs_baseline,decision_changed_vs_phase2_baseline
REAL_SATELLITE,A15,Fuente de Cibeles,18:00,61.6,45.2,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,1.0,False
REAL_SATELLITE,A16,Fuente de Neptuno,18:00,64.9,45.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,0.7,False
REAL_SATELLITE,A17,Estatua de Goya,18:00,58.9,44.6,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.7,False
REAL_SATELLITE,A18,Palacio de Cibeles - Ayuntamiento de Madrid,18:00,53.2,43.2,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.2,False
REAL_SATELLITE,A19,Real Observatorio de Madrid,18:00,46.8,41.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,0.1,False
REAL_SATELLITE,A20,Parque del Retiro,18:00,39.5,40.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.0,False
REAL_SATELLITE,A21,Real Jardín Botánico de Madrid,18:00,38.6,39.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.0,False
REAL_SATELLITE,A22,Palacio de Cristal,18:00,52.7,43.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.2,False
REAL_SATELLITE,A23,Jardines de Cecilio Rodríguez,18:00,47.7,42.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.1,False
REAL_SATELLITE,A24,La Rosaleda,18:00,65.2,46.0,Extreme heat stress,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.6,True
REAL_SATELLITE,A25,Jardín del Parterre,18:00,52.6,43.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.2,False
REAL_SATELLITE,A26,Monumento a Alfonso XII,18:00,57.9,44.3,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,0.4,False
